title,pubDate,link
b'Docs reveal contents of first wire msg between India & Eng',"b'Tue, 21 Feb 2012 09:49:25 GMT'",b'http://economictimes.indiatimes.com/documents-reveal-contents-of-the-first-telegraph-message-between-india-england/articleshow/11976488.cms'
b'Worried Amitabh Bachchan fans pray to Lord Shiva for his recovery',"b'Mon, 20 Feb 2012 10:57:34 GMT'",b'http://economictimes.indiatimes.com/worried-amitabh-bachchan-fans-pray-to-lord-shiva-for-his-recovery/articleshow/11963187.cms'
b'Every decision of government needn\xe2\x80\x99t be a big reform: Anand Mahindra',"b'Sun, 01 Jun 2014 22:30:07 GMT'",b'http://economictimes.indiatimes.com/opinion/interviews/every-decision-of-government-neednt-be-a-big-reform-anand-mahindra/articleshow/35919571.cms'
"b'Narendra Modi has his eyes set on boosting business: Joao Cravinho, EU Ambassador'","b'Tue, 03 Jun 2014 00:04:35 GMT'",b'http://economictimes.indiatimes.com/opinion/interviews/narendra-modi-has-his-eyes-set-on-boosting-business-joao-cravinho-eu-ambassador/articleshow/35973824.cms'
"b'Confidence level of industry improving: KV Kamath, ICICI Bank'","b'Mon, 02 Jun 2014 08:57:23 GMT'",b'http://economictimes.indiatimes.com/opinion/interviews/confidence-level-of-industry-improving-kv-kamath-icici-bank/articleshow/35945669.cms'
b'We may see rapid growth over the next few years: Raamdeo Agrawal',"b'Mon, 02 Jun 2014 02:30:11 GMT'",b'http://economictimes.indiatimes.com/opinion/interviews/we-may-see-rapid-growth-over-the-next-few-years-raamdeo-agrawal/articleshow/35831378.cms'
"b'Our commitment for press freedom, and autonomy of public broadcast is absolute: Prakash Javadekar'","b'Fri, 30 May 2014 22:30:25 GMT'",b'http://economictimes.indiatimes.com/opinion/interviews/our-commitment-for-press-freedom-and-autonomy-of-public-broadcast-is-absolute-prakash-javadekar/articleshow/35803396.cms'
"b'There is a leadership vacuum in Infosys, time to get Nandan Nilekani back: Mohandas Pai'","b'Thu, 29 May 2014 07:10:06 GMT'",b'http://economictimes.indiatimes.com/opinion/interviews/there-is-a-leadership-vacuum-in-infosys-time-to-get-nandan-nilekani-back-mohandas-pai/articleshow/35716682.cms'
b'Opening Bell: Top cues that changed your market while you were sleeping',"b'Wed, 19 Apr 2017 01:52:52 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/opening-bell-top-cues-that-changed-your-market-while-you-were-sleeping/articleshow/58251834.cms'
b'Uber merging China ops with Didi in $35 bn deal',"b'Mon, 01 Aug 2016 05:23:52 GMT'",b'http://economictimes.indiatimes.com/news/international/business/uber-merging-china-operations-with-ola-investor-didi-chuxing-in-a-35-billion-deal/articleshow/53485760.cms'
b'Jinping under pressure for strong SC Sea response',"b'Mon, 01 Aug 2016 04:41:32 GMT'",b'http://economictimes.indiatimes.com/news/defence/give-them-a-bloody-nose-xi-jinping-pressed-for-stronger-south-china-sea-response/articleshow/53485252.cms'
b'No government accommodation for former CMs: SC',"b'Mon, 01 Aug 2016 05:48:00 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/no-government-accommodation-for-former-chief-ministers-supreme-court/articleshow/53486108.cms'
b'Manufacturing PMI at 4 month high of 51.8 in July',"b'Mon, 01 Aug 2016 05:49:49 GMT'",b'http://economictimes.indiatimes.com/news/economy/finance/manufacturing-pmi-at-4-month-high-of-51-8-in-july/articleshow/53486134.cms'
"b""Scooter's back, with new hero on road""","b'Sun, 12 Jun 2016 05:20:10 GMT'",b'http://economictimes.indiatimes.com/industry/auto/news/two-wheelers/scooters-mopeds/scooters-back-with-new-hero-on-road/articleshow/52711166.cms'
"b'Alfa raises delisting price to Rs 2,850 a share'","b'Tue, 10 Jan 2012 12:19:11 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/alfa-laval-raises-delisting-price-to-rs-2850-a-share/articleshow/11437373.cms'
"b'DB Realty, Unitech stocks rose'","b'Tue, 29 Nov 2011 22:25:23 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/db-realty-unitech-stocks-rose-after-top-executives-granted-bail-in-2g-scam/articleshow/10925114.cms'
b'Fitch withdraws Reliance Capital ratings',"b'Thu, 20 Oct 2011 15:30:11 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/fitch-withdraws-reliance-capital-ratings/articleshow/10430814.cms'
"b""'Discoms' poor fin health poses risks for traders'""","b'Thu, 20 Oct 2011 14:32:51 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/discoms-poor-financial-health-poses-risks-for-power-traders-fitch/articleshow/10430186.cms'
b'Cigarette cos shares outperform benchmark Sensex',"b'Mon, 18 Jul 2011 20:05:28 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/cigarette-companies-price-hikes-with-higher-volumes-hold-promise/articleshow/9277179.cms'
"b""Lovable Lingerie's dream run on as traders lap it up""","b'Fri, 17 Jun 2011 18:55:28 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/lovable-lingeries-dream-run-on-as-traders-lap-it-up/articleshow/8894615.cms'
