title,pubDate,description,link
SBI shares on gaining spree; hit record high,"Fri, 13 Aug 2010 13:17:42 GMT","In the past two days, the scrip recorded a gain of over 9 per cent on the BSE, making its investors richer by a whopping Rs 15,000 crore.
",http://economictimes.indiatimes.com/markets/stocks/news/sbi-shares-on-gaining-spree-hit-record-high/articleshow/6306241.cms
FM must rethink,"Fri, 05 Mar 2010 00:02:47 GMT",TT Ram Mohan has rightly suggested that the tax-GDP ratio measures structural improvement. The FM must rethink his medium-term debtto-GDP target. ,http://economictimes.indiatimes.com/fm-must-rethink/articleshow/5645094.cms
Amalgamate banks,"Fri, 05 Mar 2010 00:01:28 GMT",Financial inclusion and financial literacy will be the paramount objective while implementing reforms along with UID project to protect the interests of poor. ,http://economictimes.indiatimes.com/amalgamate-banks/articleshow/5645086.cms
Managing data,"Mon, 12 Oct 2009 21:10:52 GMT","This refers to your edit ‘A welcome quest’ (ET, Oct 8). It is imperative to have a strong database.",http://economictimes.indiatimes.com/managing-data/articleshow/5117958.cms
Right technology,"Mon, 12 Oct 2009 21:09:54 GMT","Apropos of ‘The climate conundrum’ (ET, Oct 9), Mukul Sanwal rightly suggests that developing countries should lead in setting the agenda for global technological cooperation.",http://economictimes.indiatimes.com/right-technology/articleshow/5117957.cms
ET Search,"Tue, 06 Aug 2013 08:15:00 GMT",Rupee#CAD#Economic crisis#Food Bill,http://economictimes.indiatimes.com/et-search/articleshow/21646857.cms
"After the Oscars, what's next for silent stars of The Artist?","Tue, 28 Feb 2012 19:12:07 GMT","The team behind The Artist will have spent the first day of the rest of their lives conforming to the grandest, and most lucrative, of Hollywood traditions. ",http://economictimes.indiatimes.com/after-the-oscars-whats-next-for-silent-stars-of-the-artist/articleshow/12075465.cms
Delhi World Book fair: A fair like no other,"Sat, 25 Feb 2012 02:08:37 GMT","It's the World Book fair, which comes around once every two years sprawling across the giant halls of Pragati Maidan.  This is the fair's 20th edition.",http://economictimes.indiatimes.com/delhi-world-book-fair-a-fair-like-no-other/articleshow/12028630.cms
Indian gift makes its way to State Department exhibition,"Fri, 24 Feb 2012 08:09:49 GMT","An elephant figurine gifted by the then HM LK Advani to US Secretary of State Colin Powell in 2002, has made its way to the State Department hall.",http://economictimes.indiatimes.com/lk-advanis-gift-makes-its-way-to-state-department-exhibition-hall/articleshow/12017534.cms
IMD to use dynamic models for forecasts,"Tue, 21 Feb 2012 20:49:54 GMT","Statistical models used by IMD will still be used for monsoon forecast, but the ministry of earth sciences is putting more emphasis on dynamic models.",http://economictimes.indiatimes.com/india-meteorological-department-to-use-dynamic-models-for-forecasts/articleshow/11983844.cms
Docs reveal contents of first wire msg between India & Eng,"Tue, 21 Feb 2012 09:49:25 GMT","Newly discovered documents have revealed the first telegraph messages and joy when England was linked for the first time with India on 23 June, 1870. ",http://economictimes.indiatimes.com/documents-reveal-contents-of-the-first-telegraph-message-between-india-england/articleshow/11976488.cms
Worried Amitabh Bachchan fans pray to Lord Shiva for his recovery,"Mon, 20 Feb 2012 10:57:34 GMT",Hundreds of worried fans of ailing Bollywood megastar Amitabh Bachchan today performed a yagna here to pray for his speedy recovery.,http://economictimes.indiatimes.com/worried-amitabh-bachchan-fans-pray-to-lord-shiva-for-his-recovery/articleshow/11963187.cms
Every decision of government needn’t be a big reform: Anand Mahindra,"Sun, 01 Jun 2014 22:30:07 GMT","""The fact that we are the world’s largest democracy and we are all aware that power and a role in global affairs for a nation comes from economic strength.""",http://economictimes.indiatimes.com/opinion/interviews/every-decision-of-government-neednt-be-a-big-reform-anand-mahindra/articleshow/35919571.cms
"Narendra Modi has his eyes set on boosting business: Joao Cravinho, EU Ambassador","Tue, 03 Jun 2014 00:04:35 GMT","Ambassador Joao Cravinho, head of the EU delegation, led Ambassadors of various European countries to a quiet lunch with Modi at the capital last year.",http://economictimes.indiatimes.com/opinion/interviews/narendra-modi-has-his-eyes-set-on-boosting-business-joao-cravinho-eu-ambassador/articleshow/35973824.cms
"Confidence level of industry improving: KV Kamath, ICICI Bank","Mon, 02 Jun 2014 08:57:23 GMT","""It is the collective wisdom of the marketplace that there is action and we will move with speed. That improves the confidence level of industry.""",http://economictimes.indiatimes.com/opinion/interviews/confidence-level-of-industry-improving-kv-kamath-icici-bank/articleshow/35945669.cms
We may see rapid growth over the next few years: Raamdeo Agrawal,"Mon, 02 Jun 2014 02:30:11 GMT","Directives from the Centre have to be executed at the state level. So, there are many things that are not in Modi’s hands, says Raamdeo Agrawal.",http://economictimes.indiatimes.com/opinion/interviews/we-may-see-rapid-growth-over-the-next-few-years-raamdeo-agrawal/articleshow/35831378.cms
"Our commitment for press freedom, and autonomy of public broadcast is absolute: Prakash Javadekar","Fri, 30 May 2014 22:30:25 GMT","""Now there is a stage three and stage four of digitisation, we will take a call on this only after taking all things into account.""",http://economictimes.indiatimes.com/opinion/interviews/our-commitment-for-press-freedom-and-autonomy-of-public-broadcast-is-absolute-prakash-javadekar/articleshow/35803396.cms
"There is a leadership vacuum in Infosys, time to get Nandan Nilekani back: Mohandas Pai","Thu, 29 May 2014 07:10:06 GMT","""There is a leadership vacuum in the company, because they made the wrong choice of CEO three years ago and that is playing out right now.""",http://economictimes.indiatimes.com/opinion/interviews/there-is-a-leadership-vacuum-in-infosys-time-to-get-nandan-nilekani-back-mohandas-pai/articleshow/35716682.cms
Opening Bell: Top cues that changed your market while you were sleeping,"Wed, 19 Apr 2017 01:52:52 GMT","TCS, India’s largest technology firm by revenue, on Tuesday reported a 2.5 per cent sequential drop in net profit at Rs 6,608 crore for the quarter ended March 31, 2017.",http://economictimes.indiatimes.com/markets/stocks/news/opening-bell-top-cues-that-changed-your-market-while-you-were-sleeping/articleshow/58251834.cms
Uber merging China ops with Didi in $35 bn deal,"Mon, 01 Aug 2016 05:23:52 GMT",Uber will reportedly continue to operate its own app in China for now. Uber declined to comment on this to the publication.,http://economictimes.indiatimes.com/news/international/business/uber-merging-china-operations-with-ola-investor-didi-chuxing-in-a-35-billion-deal/articleshow/53485760.cms
